"ADULTS_1_CARE_10","XXX. 10 - 19 hours unpaid child care"
"ADULTS_1_CARE_20","XXX.20 – 29 hours"
"ADULTS_1_CARE_30","XXX.30 – 39 hours"
"ADULTS_1_CARE_40","XXX.More than 40 hours"
"ADULTS_1_CARE_LESS10","XXX. Less than 10 hours unpaid child care"
"ADULTS_1_COMPLETE_GED","XXX. Yes, completed GED"
"ADULTS_1_COMPLETE_HS","XXX. Yes, completed high school"
"ADULTS_1_COMPLETE_HS_NO","XXX. Did not complete high school or GED"
"ADULTS_1_ED_ASSOCIATE","XXX. Associate’s degree"
"ADULTS_1_ED_BACHELOR","XXX. Bachelor’s degree"
"ADULTS_1_ED_MASTER","XXX. Master’s degree"
"ADULTS_1_ED_NONE","XXX. Did not complete other education"
"ADULTS_1_ED_POSTGRAD","XXX. Post-graduate studies"
"ADULTS_1_ED_SOME_COLLEGE","XXX. Some college (no degree)"
"ADULTS_1_ED_TECH","XXX. Vocational/technical training program (not related to high school)"
"ADULTS_1_ED_UNKNOWN","XXX. Unknown"
"ADULTS_1_ENROLL_FT","XXX. Yes – Full time"
"ADULTS_1_ENROLL_NO","XXX. Not currently enrolled in any school"
"ADULTS_1_ENROLL_PT","XXX. Yes – Part time"
"ADULTS_1_INS_NO","XXX. No health insurance"
"ADULTS_1_INS_PRIVATE","XXX.Yes – Private Insurance"
"ADULTS_1_INS_PUBLIC","XXX.Yes - Public Benefit (Medicaid, Medicare, VA,Military, etc.)"
"ADULTS_1_WORK_10","XXX. 10 - 19 hours worked"
"ADULTS_1_WORK_20","XXX. 20 – 36 hours"
"ADULTS_1_WORK_37","XXX. 37 or more hours"
"ADULTS_1_WORK_LESS10","XXX. Less than 10 hours worked"
"ADULTS_1_WORK_UNEMPLOY","XXX. Unemployed"
"AGENCY_FUNDING01_0_FUNDER_NAME","Funder #1 Name"
"AGENCY_FUNDING01_1_AMOUNT","Funder #1 $ Amount"
"AGENCY_FUNDING01_1_DF_GRANT_TYPE","Funder #1 Type of Direct Federal Grant"
"AGENCY_FUNDING01_1_END_DATE","Funder #1 End Date"
"AGENCY_FUNDING01_1_FUNDER_TYPE","Funder #1 Type of Funding"
"AGENCY_FUNDING01_1_START_DATE","Funder #1 Start Date"
"AGENCY_FUNDING01_MEDICAID_TYPE","Funder #1 Type of Medicaid"
"AGENCY_FUNDING02_0_FUNDER_NAME","Funder #2 Name"
"AGENCY_FUNDING02_1_AMOUNT","Funder #2 $ Amount"
"AGENCY_FUNDING02_1_DF_GRANT_TYPE","Funder #2 Type of Direct Federal Grant"
"AGENCY_FUNDING02_1_END_DATE","Funder #2 End Date"
"AGENCY_FUNDING02_1_FUNDER_TYPE","Funder #2 Type of Funding"
"AGENCY_FUNDING02_1_START_DATE","Funder #2 Start Date"
"AGENCY_FUNDING02_MEDICAID_TYPE","Funder #2 Type of Medicaid"
"AGENCY_FUNDING03_0_FUNDER_NAME","Funder #3 Name"
"AGENCY_FUNDING03_1_AMOUNT","Funder #3 $ Amount"
"AGENCY_FUNDING03_1_DF_GRANT_TYPE","Funder #3 Type of Direct Federal Grant"
"AGENCY_FUNDING03_1_END_DATE","Funder #3 End Date"
"AGENCY_FUNDING03_1_FUNDER_TYPE","Funder #3 Type of Funding"
"AGENCY_FUNDING03_1_START_DATE","Funder #3 Start Date"
"AGENCY_FUNDING03_MEDICAID_TYPE","Funder #3 Type of Medicaid"
"AGENCY_FUNDING04_0_FUNDER_NAME","Funder #4 Name"
"AGENCY_FUNDING04_1_AMOUNT","Funder #4 $ Amount"
"AGENCY_FUNDING04_1_DF_GRANT_TYPE","Funder #4 Type of Direct Federal Grant"
"AGENCY_FUNDING04_1_END_DATE","Funder #4 End Date"
"AGENCY_FUNDING04_1_FUNDER_TYPE","Funder #4 Type of Funding"
"AGENCY_FUNDING04_1_START_DATE","Funder #4 Start Date"
"AGENCY_FUNDING04_MEDICAID_TYPE","Funder #4 Type of Medicaid"
"AGENCY_FUNDING05_0_FUNDER_NAME","Funder #5 Name"
"AGENCY_FUNDING05_1_AMOUNT","Funder #5 $ Amount"
"AGENCY_FUNDING05_1_DF_GRANT_TYPE","Funder #5 Type of Direct Federal Grant"
"AGENCY_FUNDING05_1_END_DATE","Funder #5 End Date"
"AGENCY_FUNDING05_1_FUNDER_TYPE","Funder #5 Type of Funding"
"AGENCY_FUNDING05_1_START_DATE","Funder #5 Start Date"
